2024-06-15 13:55:44.304 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-15 13:55:44.304 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-15 14:00:54.449 | SUCCESS  | __main__:<module>:150 - 读取问题成功
2024-06-15 22:50:17.876 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-15 22:50:17.876 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-15 22:55:49.710 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-15 22:55:49.774 | SUCCESS  | __main__:<module>:150 - 读取问题成功
2024-06-15 22:58:24.126 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-15 22:58:24.126 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-15 23:03:57.646 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-15 23:03:57.711 | SUCCESS  | __main__:<module>:150 - 读取问题成功
2024-06-15 23:06:44.433 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-15 23:06:44.434 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-15 23:12:18.173 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-15 23:12:18.236 | SUCCESS  | __main__:<module>:150 - 读取问题成功
2024-06-15 23:12:53.175 | INFO     | __main__:<module>:159 - topk = 10
2024-06-15 23:13:13.568 | SUCCESS  | __main__:<module>:167 - 检索成功，检索的长度103
2024-06-15 23:17:32.297 | SUCCESS  | __main__:<module>:171 - 生成答案成功，答案数量为103
2024-06-15 23:17:32.305 | SUCCESS  | __main__:<module>:173 - 文件成功写入test5.jsonl
